date,domain,locale,owner,indexed_urls,discovered_urls,index_rate_pct,impressions,clicks,ctr_pct,avg_position,notes,next_action
2026-06-16,localvram.com,ar,seo-ar,1,760,0.13,10,0,0,28.7,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-06-19
2026-06-16,localvram.com,de,seo-de,10,760,1.32,65,2,3.08,19.2,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-06-19
2026-06-16,localvram.com,es,seo-es,6,760,0.79,17,0,0,56.35,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-06-19
2026-06-16,localvram.com,fr,seo-fr,4,760,0.53,12,0,0,28.67,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-06-19
2026-06-16,localvram.com,hi,seo-hi,1,760,0.13,2,0,0,12.5,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-06-19
2026-06-16,localvram.com,id,seo-id,1,760,0.13,1,0,0,12,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-06-19
2026-06-16,localvram.com,ja,seo-ja,6,760,0.79,14,0,0,20.07,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-06-19
2026-06-16,localvram.com,ko,seo-ko,14,760,1.84,78,1,1.28,15.77,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-06-19
2026-06-16,localvram.com,pt,seo-pt,5,760,0.66,11,0,0,71.73,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-06-19
2026-06-16,localvram.com,ru,seo-ru,14,760,1.84,22,0,0,19.55,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-06-19
2026-06-19,localvram.com,ar,seo-ar,1,763,0.13,7,0,0,28.86,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-06-22
2026-06-19,localvram.com,de,seo-de,10,763,1.31,62,1,1.61,21.64,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-06-22
2026-06-19,localvram.com,es,seo-es,6,763,0.79,18,0,0,56.89,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-06-22
2026-06-19,localvram.com,fr,seo-fr,2,763,0.26,8,0,0,33.88,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-06-22
2026-06-19,localvram.com,hi,seo-hi,1,763,0.13,1,0,0,12,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-06-22
2026-06-19,localvram.com,id,seo-id,1,763,0.13,1,0,0,11,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-06-22
2026-06-19,localvram.com,ja,seo-ja,6,763,0.79,9,0,0,19.56,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-06-22
