date,domain,locale,owner,indexed_urls,discovered_urls,index_rate_pct,impressions,clicks,ctr_pct,avg_position,notes,next_action
2026-06-19,localvram.com,ko,seo-ko,14,763,1.83,78,1,1.28,16.14,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-06-22
2026-06-19,localvram.com,pt,seo-pt,5,763,0.66,13,0,0,70.69,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-06-22
2026-06-19,localvram.com,ru,seo-ru,10,763,1.31,30,0,0,47.47,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-06-22
2026-07-19,localvram.com,ar,seo-ar,10,805,1.24,44,0,0,17.07,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-22
2026-07-19,localvram.com,de,seo-de,11,805,1.37,60,0,0,43.57,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-22
2026-07-19,localvram.com,es,seo-es,7,805,0.87,33,0,0,32,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-22
2026-07-19,localvram.com,fr,seo-fr,6,805,0.75,20,0,0,28.95,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-22
2026-07-19,localvram.com,hi,seo-hi,1,805,0.12,1,0,0,34,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-22
2026-07-19,localvram.com,id,seo-id,6,805,0.75,7,0,0,23.43,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-22
2026-07-19,localvram.com,ja,seo-ja,8,805,0.99,41,0,0,24.66,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-22
2026-07-19,localvram.com,ko,seo-ko,29,805,3.6,187,1,0.53,16.59,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-22
2026-07-19,localvram.com,pt,seo-pt,8,805,0.99,15,0,0,61.4,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-22
2026-07-19,localvram.com,ru,seo-ru,7,805,0.87,29,0,0,65.04,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-22
2026-07-22,localvram.com,ar,seo-ar,12,805,1.49,63,0,0,15.9,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-25
2026-07-22,localvram.com,de,seo-de,9,805,1.12,67,0,0,46.04,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-25
2026-07-22,localvram.com,es,seo-es,7,805,0.87,48,0,0,24.83,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-25
2026-07-22,localvram.com,fr,seo-fr,7,805,0.87,20,0,0,29.6,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-25
2026-07-22,localvram.com,hi,seo-hi,1,805,0.12,1,0,0,34,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-25
2026-07-22,localvram.com,id,seo-id,6,805,0.75,8,0,0,21.5,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-25
2026-07-22,localvram.com,ja,seo-ja,8,805,0.99,45,0,0,25.93,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-25
2026-07-22,localvram.com,ko,seo-ko,29,805,3.6,187,1,0.53,17.44,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-25
2026-07-22,localvram.com,pt,seo-pt,8,805,0.99,17,0,0,62.06,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-25
2026-07-22,localvram.com,ru,seo-ru,7,805,0.87,24,0,0,59.54,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-25
2026-07-25,localvram.com,ar,seo-ar,12,805,1.49,79,0,0,15.01,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-28
2026-07-25,localvram.com,de,seo-de,9,805,1.12,68,0,0,48.27,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-28
2026-07-25,localvram.com,es,seo-es,6,805,0.75,60,0,0,21.32,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-28
2026-07-25,localvram.com,fr,seo-fr,7,805,0.87,17,0,0,30.82,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-28
2026-07-25,localvram.com,hi,seo-hi,1,805,0.12,1,0,0,34,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-28
2026-07-25,localvram.com,id,seo-id,6,805,0.75,8,0,0,21.5,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-28
2026-07-25,localvram.com,ja,seo-ja,8,805,0.99,48,0,0,25.98,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-28
2026-07-25,localvram.com,ko,seo-ko,29,805,3.6,170,0,0,18.39,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-28
2026-07-25,localvram.com,pt,seo-pt,7,805,0.87,14,0,0,66.93,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-28
2026-07-25,localvram.com,ru,seo-ru,8,805,0.99,16,0,0,45.62,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-28
2026-07-28,localvram.com,ar,seo-ar,13,805,1.61,93,0,0,14.39,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-31
2026-07-28,localvram.com,de,seo-de,9,805,1.12,62,0,0,49.36,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-31
2026-07-28,localvram.com,es,seo-es,8,805,0.99,64,0,0,22.14,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-31
2026-07-28,localvram.com,fr,seo-fr,9,805,1.12,21,0,0,29.67,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-31
2026-07-28,localvram.com,hi,seo-hi,1,805,0.12,1,0,0,34,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-31
2026-07-28,localvram.com,id,seo-id,8,805,0.99,10,0,0,24.4,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-31
2026-07-28,localvram.com,ja,seo-ja,7,805,0.87,43,0,0,26.05,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-31
2026-07-28,localvram.com,ko,seo-ko,31,805,3.85,166,0,0,18.82,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-31
2026-07-28,localvram.com,pt,seo-pt,7,805,0.87,13,0,0,61.62,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-31
2026-07-28,localvram.com,ru,seo-ru,8,805,0.99,14,0,0,42.5,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-07-31
2026-07-31,localvram.com,ar,seo-ar,13,805,1.61,105,0,0,14.47,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-03
2026-07-31,localvram.com,de,seo-de,9,805,1.12,51,0,0,49.86,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-03
2026-07-31,localvram.com,es,seo-es,9,805,1.12,77,0,0,20.48,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-03
2026-07-31,localvram.com,fr,seo-fr,15,805,1.86,31,0,0,34.1,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-03
2026-07-31,localvram.com,hi,seo-hi,1,805,0.12,1,0,0,34,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-03
2026-07-31,localvram.com,id,seo-id,6,805,0.75,9,0,0,24.56,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-03
2026-07-31,localvram.com,ja,seo-ja,8,805,0.99,45,0,0,25.22,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-03
2026-07-31,localvram.com,ko,seo-ko,30,805,3.73,154,0,0,19.58,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-03
2026-07-31,localvram.com,pt,seo-pt,8,805,0.99,18,0,0,59.28,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-03
2026-07-31,localvram.com,ru,seo-ru,8,805,0.99,14,0,0,40.07,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-03
2026-08-01,localvram.com,ar,seo-ar,14,805,1.74,108,0,0,14.71,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-04
2026-08-01,localvram.com,de,seo-de,8,805,0.99,43,0,0,47.93,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-04
2026-08-01,localvram.com,es,seo-es,9,805,1.12,84,0,0,20.02,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-04
2026-08-01,localvram.com,fr,seo-fr,16,805,1.99,34,0,0,34.44,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-04
2026-08-01,localvram.com,hi,seo-hi,2,805,0.25,2,0,0,40,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-04
2026-08-01,localvram.com,id,seo-id,6,805,0.75,9,0,0,24.56,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-04
2026-08-01,localvram.com,ja,seo-ja,8,805,0.99,44,0,0,25.02,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-04
2026-08-01,localvram.com,ko,seo-ko,30,805,3.73,159,0,0,19.2,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-04
2026-08-01,localvram.com,pt,seo-pt,9,805,1.12,19,0,0,58.84,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-04
2026-08-01,localvram.com,ru,seo-ru,7,805,0.87,12,0,0,33.08,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-04
2026-08-04,localvram.com,ar,seo-ar,16,810,1.98,114,0,0,14.9,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-07
2026-08-04,localvram.com,de,seo-de,7,810,0.86,51,0,0,50.8,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-07
2026-08-04,localvram.com,es,seo-es,9,810,1.11,97,0,0,17.89,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-07
2026-08-04,localvram.com,fr,seo-fr,17,810,2.1,45,0,0,37.76,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-07
2026-08-04,localvram.com,hi,seo-hi,2,810,0.25,2,0,0,40,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-07
2026-08-04,localvram.com,id,seo-id,8,810,0.99,12,0,0,26.83,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-07
2026-08-04,localvram.com,ja,seo-ja,9,810,1.11,40,0,0,26.9,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-07
2026-08-04,localvram.com,ko,seo-ko,31,810,3.83,149,0,0,20.73,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-07
2026-08-04,localvram.com,pt,seo-pt,10,810,1.23,18,0,0,51.11,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-07
2026-08-04,localvram.com,ru,seo-ru,8,810,0.99,16,0,0,32.31,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-07
2026-08-07,localvram.com,ar,seo-ar,17,825,2.06,109,0,0,15.26,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-10
2026-08-07,localvram.com,de,seo-de,7,825,0.85,44,0,0,49.34,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-10
2026-08-07,localvram.com,es,seo-es,9,825,1.09,99,0,0,16.93,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-10
2026-08-07,localvram.com,fr,seo-fr,16,825,1.94,38,0,0,40.9,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-10
2026-08-07,localvram.com,hi,seo-hi,2,825,0.24,2,0,0,40,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-10
2026-08-07,localvram.com,id,seo-id,8,825,0.97,17,0,0,21,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-10
2026-08-07,localvram.com,ja,seo-ja,9,825,1.09,37,0,0,28.05,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-10
2026-08-07,localvram.com,ko,seo-ko,23,825,2.79,129,0,0,18.73,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-10
2026-08-07,localvram.com,pt,seo-pt,10,825,1.21,19,0,0,50.79,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-10
2026-08-07,localvram.com,ru,seo-ru,8,825,0.97,16,0,0,33.94,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-10
2026-08-10,localvram.com,ar,seo-ar,13,828,1.57,94,0,0,14.78,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-13
2026-08-10,localvram.com,de,seo-de,7,828,0.85,44,0,0,46.66,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-13
2026-08-10,localvram.com,es,seo-es,12,828,1.45,116,0,0,15.96,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-13
2026-08-10,localvram.com,fr,seo-fr,17,828,2.05,45,0,0,41.53,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-13
2026-08-10,localvram.com,hi,seo-hi,2,828,0.24,2,0,0,40,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-13
2026-08-10,localvram.com,id,seo-id,7,828,0.85,16,0,0,23.19,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-13
2026-08-10,localvram.com,ja,seo-ja,7,828,0.85,30,0,0,29,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-13
2026-08-10,localvram.com,ko,seo-ko,19,828,2.29,127,0,0,17.28,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-13
2026-08-10,localvram.com,pt,seo-pt,8,828,0.97,15,0,0,47.47,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-13
2026-08-10,localvram.com,ru,seo-ru,7,828,0.85,18,0,0,28.61,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-13
2026-08-13,localvram.com,ar,seo-ar,13,831,1.56,81,0,0,16.31,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-16
2026-08-13,localvram.com,de,seo-de,7,831,0.84,52,0,0,46.58,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-16
2026-08-13,localvram.com,es,seo-es,13,831,1.56,132,0,0,14.61,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-16
2026-08-13,localvram.com,fr,seo-fr,18,831,2.17,48,0,0,41.6,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-16
2026-08-13,localvram.com,hi,seo-hi,2,831,0.24,2,0,0,48,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-16
2026-08-13,localvram.com,id,seo-id,7,831,0.84,16,0,0,23.25,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-16
2026-08-13,localvram.com,ja,seo-ja,7,831,0.84,31,0,0,28.97,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-16
2026-08-13,localvram.com,ko,seo-ko,19,831,2.29,118,0,0,16.12,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-16
2026-08-13,localvram.com,pt,seo-pt,9,831,1.08,19,0,0,50.32,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-16
2026-08-13,localvram.com,ru,seo-ru,9,831,1.08,21,0,0,31.95,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-16
2026-08-16,localvram.com,ar,seo-ar,12,834,1.44,63,0,0,17.81,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-19
2026-08-16,localvram.com,de,seo-de,7,834,0.84,50,0,0,49.2,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-19
2026-08-16,localvram.com,es,seo-es,14,834,1.68,176,0,0,13.92,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-19
2026-08-16,localvram.com,fr,seo-fr,17,834,2.04,56,0,0,43.2,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-19
2026-08-16,localvram.com,hi,seo-hi,3,834,0.36,3,0,0,51.67,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-19
2026-08-16,localvram.com,id,seo-id,8,834,0.96,17,0,0,24.47,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-19
2026-08-16,localvram.com,ja,seo-ja,7,834,0.84,29,0,0,28.93,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-19
2026-08-16,localvram.com,ko,seo-ko,24,834,2.88,167,0,0,14.69,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-19
2026-08-16,localvram.com,pt,seo-pt,9,834,1.08,19,0,0,47.21,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-19
2026-08-16,localvram.com,ru,seo-ru,11,834,1.32,23,1,4.35,31.83,72h checkpoint started after wave1 publish,GSC URL inspection + KPI refresh on 2026-08-19
